Date,Ticker,Action,Firm,To Grade,From Grade
2020-06-02,ABBV,up,Argus Research,Buy,Hold
2020-06-23,ABBV,up,Atlantic Equities,Overweight,Neutral
2020-08-03,ABBV,main,Mizuho,Buy,
2020-08-03,ABBV,main,RBC Capital,Outperform,
2020-08-20,ABBV,main,Morgan Stanley,Overweight,
2020-09-02,ABBV,main,Citigroup,Buy,
2020-09-29,ABBV,init,Berenberg,Hold,
2020-10-16,ABBV,main,JP Morgan,Overweight,
2020-10-23,ABBV,init,Truist Securities,Buy,
2020-11-02,ABBV,main,SVB Leerink,Outperform,
2012-04-23,ABMD,main,Jefferies,Buy,
2012-05-17,ABMD,main,PiperJaffray,Overweight,
2012-05-17,ABMD,main,Wunderlich,Buy,
2012-09-25,ABMD,init,Sidoti & Co.,Buy,
2012-11-01,ABMD,main,Jefferies,Buy,
2012-11-08,ABMD,init,Raymond James,Market Perform,
2012-11-29,ABMD,main,Wunderlich,Buy,
2013-03-14,ABMD,init,William Blair,Outperform,
2013-04-09,ABMD,down,PiperJaffray,Neutral,Overweight
2013-10-01,ABMD,init,Benchmark,Speculative Buy,
2013-10-08,ABMD,up,Benchmark,Buy,Speculative Buy
2013-11-07,ABMD,main,Jefferies,Buy,
2014-01-10,ABMD,main,Wunderlich,Buy,
2014-02-20,ABMD,init,BTIG Research,Neutral,
2014-03-21,ABMD,up,BTIG Research,Buy,Neutral
2014-03-24,ABMD,init,Leerink Swann,Outperform,
2014-11-03,ABMD,down,BTIG Research,Neutral,Buy
2015-01-05,ABMD,main,Jefferies,Buy,
2015-01-28,ABMD,up,Northland Securities,Market Perform,Underperform
2015-01-28,ABMD,main,Jefferies,Buy,
2015-05-06,ABMD,main,Leerink Swann,Outperform,
2015-08-18,ABMD,init,Sterne Agee CRT,Buy,
2015-10-30,ABMD,up,Raymond James,Outperform,Market Perform
2016-05-04,ABMD,main,Leerink Swann,Outperform,
2016-07-29,ABMD,main,Jefferies,Buy,
2016-08-09,ABMD,main,Jefferies,Buy,
2016-12-07,ABMD,init,Guggenheim,Buy,
2017-04-06,ABMD,up,PiperJaffray,Overweight,Neutral
2017-07-10,ABMD,main,Morgan Stanley,Equal-Weight,
